Start station,End station,Count
"Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park",327
"Albert Gate, Hyde Park","Albert Gate, Hyde Park",185
"Waterloo Station 3, Waterloo","Newgate Street , St. Paul's",160
"Newgate Street , St. Paul's","Waterloo Station 3, Waterloo",155
"Triangle Car Park, Hyde Park","Triangle Car Park, Hyde Park",140
"Waterloo Station 3, Waterloo","St. Bride Street, Holborn",134
"Wormwood Street, Liverpool Street","Waterloo Station 3, Waterloo",112
"St. Bride Street, Holborn","Waterloo Station 3, Waterloo",109
"Waterloo Station 3, Waterloo","Farringdon Street, Holborn",108
"Waterloo Station 3, Waterloo","Queen Street 1, Bank",108
